Numero di Visitatori,Soggiorno Medio (giorni),Entrate da Turismo (Euro),Tipo di Attrazione,Mese,Provenienza dei Visitatori,Metodo di Trasporto,Alloggio,Soddisfazione Cliente,Predict
42083.311784506725,19.90526887497767,386515.0462464873,3.0,2.0,Regionale,Auto,Hotel,False,136996.76976619955
43518.11601509204,27.659017307366195,427815.9132129337,2.0,1.0,Regionale,Treno,Appartamento,False,150104.2319714261
42769.34617726347,5.667046894592465,486295.5966644978,3.255510211374088,2.0,Regionale,Aereo,Appartamento,False,167273.55208798108
66074.07939926824,26.253608297136424,593618.8744420056,2.0,2.0,Locale,Auto,B&B,True,211123.10203223582
46121.256430049805,29.003983303994485,456552.20101086993,1.0,1.0,Internazionale,Nave,B&B,False,160026.4885182859
48234.74656829116,24.678761421922346,608614.655011377,2.0,1.0,Regionale,Aereo,Appartamento,True,206702.16978755864
52550.014191173286,12.059420693024677,512494.148486596,3.0,1.0,Locale,Treno,B&B,True,180023.85164156544
45800.40830528908,16.014472452033708,443972.48484820663,3.0,1.0,Locale,Aereo,Hotel,False,156092.5496071065
49752.16235629735,,402680.71071776527,0.0,0.0,Locale,Aereo,B&B,False,145680.29439347825
79829.39425291763,6.298730541545846,,1.0,0.0,Regionale,Auto,,False,167803.8317698691
51967.69844277218,13.275326551576619,257057.63919269232,2.0,1.0,Locale,Aereo,Hotel,False,103101.54097919377
58152.55154509145,10.558903684088342,515977.92067526444,3.0,2.0,Locale,Auto,Hotel,True,183870.25197512505
65435.36700469031,14.210698462919838,433159.30916625384,2.0,3.0,Internazionale,Treno,B&B,,162665.8762522213
64299.70743437556,18.877386066032756,283517.1733482791,2.0,0.0,Locale,Aereo,Hotel,False,117205.4057216715
59459.75914687422,27.805145109381673,519422.1270471506,3.0,2.0,Internazionale,Auto,Ostelli,True,185557.1176875823
47618.191160930255,11.643834876365688,604573.5636892461,2.0,2.0,Internazionale,Aereo,Ostelli,True,205181.56468723895
52025.720336424674,15.9872736071048,554646.2822098016,4.0,1.0,Locale,Treno,B&B,True,192407.5448311528
44741.727683490724,16.358320815041886,429862.4984180941,3.0,1.0,Locale,Auto,Hotel,False,151330.2133671736
49749.53326481642,,547071.2588578351,1.0,1.0,Regionale,Aereo,Appartamento,True,188996.34428975877
50229.78796460209,17.93713129361928,681473.331160847,3.0,1.0,Regionale,Nave,Hotel,True,229557.49333055512
43666.38756107374,15.149934821447355,519617.11931835307,,0.0,Locale,Auto,Hotel,True,177718.5295760428
54536.63528034386,20.48206376136336,643513.5286362024,2.0,1.0,Locale,Auto,Hotel,True,220322.77623103265
66135.96194075883,12.922144498327356,566385.0218250602,2.0,0.0,Internazionale,Treno,B&B,True,202983.8875178975
54921.66479079518,5.666990645233624,497197.21141911286,2.0,,Internazionale,Nave,Hotel,True,176620.39582113145
54210.79919810186,11.307510525205188,581148.6222936866,2.0,1.0,Regionale,Treno,B&B,True,201450.3862871569
71432.40329371147,22.875252836728272,451612.05007275264,0.0,3.0,Locale,Treno,Hotel,False,171199.81666868154
50168.98252791174,11.434643809745426,433752.39794003055,1.0,3.0,,Treno,,False,155210.41064596505
49592.470369345574,18.688350599106514,,1.0,2.0,Locale,Auto,Hotel,True,
45721.08705942155,6.99810602194304,495988.88977664534,4.0,1.0,Regionale,Aereo,Hotel,False,171658.01046270435
61619.90665456114,27.847285411958993,591377.4816289538,2.0,0.0,Locale,Auto,B&B,True,208223.59781596673
46777.21485352868,4.1517834874840664,600059.8204222411,4.0,0.0,Locale,Treno,Hotel,True,203407.35355343664
54811.147055178735,18.701455695836614,351493.54208381067,4.0,1.0,Regionale,Aereo,B&B,False,132854.43615273255
40287.20292754898,20.500004358172973,570092.2652467111,0.0,1.0,Locale,Auto,Hotel,True,191171.2810377878
40366.4366260759,11.960832363534479,511231.9039620624,0.0,2.0,Internazionale,Aereo,Hotel,False,173552.78950165666
58721.55092251786,29.904995527906593,462520.69060089893,4.0,0.0,Internazionale,Aereo,Ostelli,False,168117.78264152858
37515.987105433655,17.32153471906043,302455.9180981779,2.0,,Locale,Treno,Appartamento,False,109495.16898217019
50718.7874434159,21.186610489535976,470145.3537501787,2.0,1.0,Locale,Aereo,B&B,False,166403.39984676155
45579.15225353543,3.3273650523918654,473301.7491765447,1.0,,Regionale,Auto,Hotel,False,164780.30087973113
57377.95671572224,11.641754507804581,,0.0,2.0,Regionale,Auto,Appartamento,False,156410.61338812372
49124.94238479129,16.157766694734615,544916.9906561002,1.0,0.0,Locale,Auto,Hotel,True,188037.7683892257
48897.269166778926,19.010210286266215,569384.705709317,1.0,1.0,Internazionale,,B&B,True,195264.24629618457
49663.37171796145,26.251377681495995,509738.6261386186,3.0,0.0,Regionale,Auto,Hotel,True,
47369.84821973517,25.25102856055255,540622.766764478,1.0,2.0,Locale,Aereo,Hotel,True,294808.4633826443
56145.31333786967,7.949496346674935,640060.159709884,,1.0,Internazionale,Aereo,Hotel,,220091.5045819
50882.39456895552,25.25102856055255,529700.7084438634,1.0,0.0,Locale,Auto,Hotel,True,184351.6098176368
51007.103486346794,12.406567326437218,369151.05524017103,1.0,1.0,Locale,Aereo,Appartamento,False,136249.06831522472
47261.42566662104,4.217640815711976,616664.3128135967,3.0,1.0,Regionale,Auto,Hotel,True,208630.6066773895
52823.53433554472,16.169964583121654,620484.42768176,,1.0,Locale,Auto,B&B,True,212557.49547230036
51206.578581814516,14.734753436927088,478430.2132272918,1.0,0.0,Locale,Auto,Appartamento,False,169132.55325909483
52521.464510653954,10.020857304680275,444337.61695593694,0.0,1.0,Internazionale,Nave,Hotel,False,159562.01734210807
70428.7166527672,0.7436620181747478,626873.6272559102,3.0,1.0,Locale,Treno,Hotel,True,223277.04650315666
45662.81128289908,18.73305827609738,447961.5249991744,3.0,2.0,Internazionale,Aereo,Appartamento,False,157220.46314120185
52659.350152629406,14.717627711311005,,3.0,0.0,Internazionale,Aereo,Appartamento,False,154613.8068557023
38799.478002191485,1.8935435161999514,436526.5138106873,2.0,1.0,Locale,Aereo,Hotel,False,150358.0931443019
52502.78591801187,0.9343449374532675,422455.7931317299,3.0,2.0,Locale,Auto,Hotel,False,152988.7308985249
,26.891864795899668,424401.3840514594,4.0,0.0,Internazionale,Nave,Hotel,False,155291.02045793046
44473.21641067396,21.61243230000418,535734.0184633583,0.0,0.0,Internazionale,Aereo,Hotel,True,182956.81374434446
58045.51093577647,27.824836103616565,554778.4071805958,3.0,4.0,Internazionale,Aereo,Ostelli,True,195456.87762206697
40570.20160845044,25.25102856055255,393739.62831074896,0.0,1.0,Regionale,Aereo,Appartamento,False,138406.9892974499
63640.92150318327,25.428745567222094,564395.280606502,2.0,1.0,Locale,Aereo,Appartamento,True,201139.4449335422
53543.60252544069,2.7756667370185193,524731.8996567318,1.0,0.0,Internazionale,Treno,Appartamento,True,184191.57115973986
60028.27869881254,28.479419400624174,449565.92673793033,0.0,2.0,Locale,Treno,B&B,False,164883.91737078535
43909.5976127351,23.76653262972118,,1.0,0.0,Internazionale,Auto,Hotel,False,151833.43754115017
54244.89086636794,7.157915141268286,435736.90241135936,4.0,0.0,,Auto,Appartamento,False,157844.31615659175
42015.36537592101,8.485680751808689,440194.4202984325,,3.0,Locale,Auto,Hotel,False,153066.60877749027
52911.65078449996,25.3287958910971,463429.9792250176,2.0,0.0,Locale,Auto,Hotel,False,165485.21915975524
,0.26339382129578537,398825.8179459624,1.0,1.0,Internazionale,Treno,Appartamento,False,145992.1324430624
55033.06687288387,20.066581029285896,482920.06601415627,3.0,2.0,Locale,Treno,B&B,False,172393.1532406888
68786.09023704485,14.501714599569953,642213.4466608606,1.0,1.0,Locale,Auto,Hotel,True,227057.27911678058
69919.83604161986,5.233242677478403,530721.1225759727,3.0,0.0,Locale,Auto,Hotel,True,194176.85479360176
50598.246085428655,4.45302530055085,397408.6071827699,2.0,2.0,Internazionale,Treno,Hotel,False,144522.1051975453
54422.01080550934,19.863670135033377,409991.9922838321,2.0,0.0,Internazionale,Auto,Appartamento,,150209.00308790428
56128.78057286685,2.5908192943501906,541729.4140713341,1.0,1.0,Locale,Auto,B&B,True,190583.41450783366
44691.537497743484,,488412.47303583694,2.0,2.0,Regionale,Aereo,B&B,False,168869.9106596228
61736.05120909599,20.969247217658207,385461.25146659126,3.0,2.0,Locale,Aereo,B&B,False,146507.0010445254
,3.9565929132471798,,3.0,0.0,Locale,Auto,Hotel,False,175925.28977178826
54241.20328952335,0.5027124485417367,348805.53363915347,2.0,0.0,Locale,Treno,B&B,False,131762.6617365077
50416.435506779155,7.57882706873938,322618.62588149676,2.0,1.0,Regionale,Auto,,False,121994.20551783859
61673.350313557734,29.724749512435448,491885.9444429084,1.0,1.0,Locale,Auto,Hotel,True,178402.6584896514
48180.99644524858,25.388912253134713,584782.1635878836,0.0,0.0,Locale,Aereo,Appartamento,True,199525.14729898938
,,476378.8516027131,0.0,1.8192667088388248,Locale,Nave,B&B,False,166796.73702862507
39652.165726892345,2.5858782005139282,393880.98196492775,4.0,1.0,Locale,Aereo,Hotel,False,137991.1774529245
31239.17329337254,10.084850844832262,496618.34287777176,0.0,0.0,Internazionale,,Appartamento,False,164605.0895100178
58277.19462401967,29.773034762730347,575096.8808208928,3.0,1.0,Locale,Treno,Hotel,True,201668.26155827765
45714.190226992214,,502619.7227308072,2.0,1.0,Locale,,Hotel,False,173643.41193273824
,7.1387334796504796,526462.9703183025,0.0,3.0,Locale,Auto,Hotel,False,173740.20926471893
47294.57280874536,6.051940095943111,615292.1796627742,2.0,0.0,Internazionale,Aereo,Hotel,True,208235.34030320492
45127.226340142995,20.195205655081907,538894.2046583499,3.0,2.0,Locale,Treno,Hotel,True,184232.47456757646
54458.098841603554,5.983091632471934,145754.69577945792,3.0,3.0,Locale,Aereo,B&B,False,70956.05815463915
40101.1892772648,16.013190184104,572392.5922624648,3.0,1.0,Regionale,Aereo,Hotel,True,
54247.756234254484,1.8092193224675979,510520.5966551001,0.0,0.0,Locale,Aereo,Hotel,True,180280.0571136573
35731.36906359165,0.4448319096949527,487110.21563784726,2.0,1.0,Locale,Auto,Hotel,False,163999.14922315
55130.38158094668,27.933466203761377,320687.93944922334,3.0,0.0,Locale,Auto,Hotel,False,123772.17262524035
48146.0275195826,12.040411122032188,600881.4707390778,2.0,0.0,Regionale,Auto,Hotel,True,204337.85498151463
55034.06707409052,9.1645377821439,703818.8810466146,1.0,1.0,Internazionale,Aereo,Hotel,True,238662.89785102964
48154.14582454374,4.002522507638192,527595.534296256,3.0,1.0,Regionale,Treno,Hotel,True,182356.33320114866
59655.13947192752,3.5438053244788525,470873.47348407365,3.0,2.0,,Auto,Appartamento,False,171090.21178118588
49444.72548406891,11.154530008247853,684476.1003237903,0.0,0.0,Locale,Auto,Hotel,True,230065.19283917156
79829.39425291763,11.690955324631254,528885.2008305504,2.0,1.0,Locale,Nave,Ostelli,True,181177.01394479143
63388.63567619509,18.343138538370077,546338.7837811543,1.0,1.0,,Aereo,Hotel,True,195596.15297244384
36523.902631593606,25.787019127793368,393915.50552785874,2.0,1.0,Regionale,Aereo,Hotel,False,136437.0029741544
29254.675002534514,7.430431780355578,513705.08496143454,3.0,2.0,Internazionale,Auto,Hotel,False,168739.4629896976
38862.61993106294,12.967002219055884,488162.0487452571,3.0,1.0,,Auto,Hotel,False,294808.4633826443
55577.98898119006,12.454599588683367,577365.155582713,2.0,0.0,Regionale,Aereo,Hotel,True,200998.9411654089
66959.62602454494,17.593205865074573,,3.0,1.0,Locale,Auto,B&B,True,199446.21547135548
42298.975578112884,13.620559586699887,484289.91387243144,4.0,2.0,Internazionale,Treno,Hotel,False,166437.26195078585
47303.32152207436,15.8835433294466,510941.49589526386,2.0,2.0,Internazionale,Auto,,True,176934.5095296163
41780.124641525894,7.642246792279806,526629.1450809228,0.0,1.0,Internazionale,Auto,Hotel,True,178878.80584503978
67465.79622225167,6.08615223101499,481705.7758526385,4.0,1.0,Regionale,Auto,Ostelli,True,178245.43086691736
56869.243808959414,4.76609635374513,454498.5287343107,0.0,3.0,Locale,Auto,B&B,False,164784.18052477294
54543.33671028062,18.35759965920293,616384.6936923161,2.0,0.0,Regionale,Treno,Hotel,True,212187.47646283513
53146.554166895694,28.93098256510145,622361.4000350814,1.0,0.0,Locale,Aereo,Hotel,True,213281.89709397228
60102.707095366444,13.594116305064162,446821.203461583,2.0,0.0,Regionale,Treno,Hotel,False,164098.1145861581
45767.78902083193,23.595256962344678,586528.194461441,1.0,1.8192667088388248,Locale,Aereo,Hotel,True,198842.55284884828
,5.022585346710208,526749.9212086747,4.0,0.0,Regionale,Aereo,,True,191563.24774961412
45240.70871068897,0.5579742659508069,999977.480450842,1.0,1.0,Locale,Treno,Hotel,False,154852.24336967795
31764.911636007295,17.8368229985687,396910.27454331773,1.0,1.0,Locale,Auto,Appartamento,False,134955.73818099897
49956.00781510234,3.5226460650506297,999977.480450842,,1.0,Locale,Treno,Hotel,False,166387.61307793207
33828.45937293742,10.337471145032396,529072.824916726,1.0,0.0,Internazionale,Treno,Hotel,False,175636.2771614865
30910.95500347567,2.7132886249623747,462049.0174146543,1.0,0.0,Regionale,Treno,Hotel,False,154070.38272613412
48166.723904116,9.410695092174935,484490.63727873826,1.0,1.0,Internazionale,Treno,B&B,False,169430.7531356795
48284.93969988186,12.213761753233955,380681.27936184744,1.0,0.0,Internazionale,Treno,Ostelli,False,138347.05365849516
52296.43576454275,10.39112457873917,508587.9514563753,3.0,0.0,,Auto,Hotel,True,178725.203319184
48661.06422722867,11.261179339344148,748298.9293639893,2.0,1.0,Internazionale,Auto,Hotel,True,248820.61092281112
48583.53761169134,19.683819565703416,499677.27403982606,2.0,,Locale,Auto,,False,174195.35101779347
50061.19776685583,2.2687917330891763,,3.0,0.0,Locale,Auto,Hotel,False,156192.30038797596
47920.57825951488,12.360602748429608,422287.99745050166,1.0,0.0,Locale,Aereo,Appartamento,False,150646.88836490794
54216.49031656404,25.25102856055255,512809.98793507426,4.0,0.0,Regionale,Treno,Appartamento,True,180952.04153880427
38429.044249734114,17.98250180501846,469924.6769658366,3.0,3.0,Regionale,Aereo,Hotel,False,160192.52521461804
45740.34384137589,24.950113197894424,398735.7547035025,1.0,2.0,Locale,Auto,Hotel,False,
66221.40173750705,27.373694523616837,643526.0103558106,3.0,0.0,Regionale,Auto,Appartamento,True,226169.1039754967
53655.59962141004,1.866104375286508,532656.5957262339,1.0,0.0,Locale,Auto,Hotel,True,186624.9785285752
47785.678605280824,22.259694524472124,352228.1080355741,,3.0,Regionale,Treno,Hotel,False,129561.67171331262
61474.405847508984,1.1439403051008235,457610.83567654,2.0,0.0,Internazionale,Auto,Hotel,False,168020.85362671647
50843.17120168709,,,1.0,1.0,Regionale,Aereo,Appartamento,True,
48790.68524406241,27.22646695508172,532043.7743177662,3.0,2.0,Internazionale,Aereo,Hotel,True,184009.07491736105
47638.27915139264,23.653832552241955,522012.3147399116,4.0,2.0,Regionale,Auto,Hotel,True,180423.63399766976
52186.05515540208,4.549581743493839,999977.480450842,3.0,0.0,Regionale,Aereo,B&B,True,198734.08832734133
48421.36913778128,24.78430545695144,431545.97790508415,1.0,0.0,Regionale,Nave,B&B,False,153674.6779404159
44086.36059881881,29.72089797984636,503111.23615215963,1.0,3.0,Locale,Treno,,False,172976.7511450573
45272.5622367231,4.365838294424113,328385.61841179244,2.0,1.0,,Treno,Hotel,False,121152.36664189928
42645.5713682896,1.7646886080565949,631504.448372447,3.0,0.0,Locale,Auto,Hotel,True,
59927.49845251233,25.25102856055255,592412.2726678838,2.0,0.0,Internazionale,Treno,Hotel,True,207687.83102662128
51657.21665805422,8.664191975673694,542610.9110078276,1.0,2.0,Regionale,Auto,Hotel,True,188612.0816313754
48411.78648273861,18.894121775933012,392115.8688808174,1.0,1.0,Regionale,Nave,Appartamento,False,141840.85390561452
40480.534026979345,22.149725404456824,341712.57052474795,2.0,1.0,Internazionale,Aereo,Appartamento,False,122754.43817091406
51133.61635496212,,732457.8011515001,2.0,,Internazionale,Treno,Appartamento,True,245304.54852293106
58903.2462570124,15.172075035126243,356763.18967247894,3.0,1.8192667088388248,Regionale,Nave,Hotel,False,136481.18003024987
62951.67229799247,0.5318509611414701,364946.6534854042,3.0,3.0,Internazionale,Auto,Hotel,False,140960.4321946175
42439.22315152304,5.833643520233994,353552.4473541131,3.0,2.0,Regionale,Aereo,Hotel,False,127285.94578199546
44754.648789355095,11.380728652209012,426642.595220299,1.0,2.0,Locale,Treno,B&B,False,150370.30296076724
50197.57888466131,16.554378473739405,535672.1072474986,2.0,1.0,Locale,Aereo,Hotel,True,
67065.1497841975,18.77709232558074,685465.292157559,0.0,1.0,Regionale,Auto,Ostelli,True,239172.16253936643
50929.25316886811,20.114216289324116,543487.7787717199,1.0,2.0,Regionale,Aereo,B&B,True,188511.16021595005
,6.6051473664527265,480126.0171105444,,1.0,Regionale,Auto,Hotel,False,169390.72767357016
41082.242295555036,21.231366822293722,613008.2263270947,0.0,1.0,Internazionale,Treno,B&B,True,204443.58904590592
56347.73274088259,7.563132656199042,589870.4347621227,4.0,1.8192667088388248,Locale,Treno,Appartamento,True,205135.7967990781
49223.57362569869,9.646445997929701,489804.34865002875,2.0,1.0,Internazionale,,Appartamento,False,171553.49140785795
31762.761962629458,5.294393630619809,619464.6057633726,1.0,2.0,Locale,Aereo,Hotel,True,201720.9627103265
66754.36929469428,1.5740921633121518,,0.0,0.0,Internazionale,Auto,Hotel,True,220287.37639187882
57114.28078441005,25.25102856055255,656663.6196548255,3.0,1.0,Locale,Aereo,Hotel,True,225556.8262886527
65399.67394569493,27.78456226102968,441230.7511490847,3.255510211374088,0.0,Locale,Auto,Hotel,False,165069.6623175729
43073.36938795322,13.153189602069592,558724.1657001963,2.0,3.0,Internazionale,Treno,B&B,True,189154.3344040355
63622.429162943954,25.25102856055255,712139.5526045052,3.0,0.0,Internazionale,Aereo,Hotel,True,245453.68036282354
44263.009970284904,28.315121272629284,450214.1547402781,2.0,1.0,Locale,Aereo,Ostelli,False,157196.15140722584
52519.85993882119,,554640.8515881271,3.0,0.0,Internazionale,Auto,B&B,True,192652.7854458487
50414.77958592139,28.09781855602705,593243.1595128216,3.0,1.0,Internazionale,Nave,Hotel,True,203180.93764680717
47954.018997751606,12.324483916244853,531080.2358396021,2.0,0.0,Regionale,Auto,Hotel,True,183301.4802507564
54602.75973268794,12.532444695184555,,4.0,1.0,Internazionale,Auto,Ostelli,True,182099.08116905458
,8.612063940777976,390349.66971003736,3.0,2.0,Internazionale,Treno,Hotel,False,143669.60996718192
45696.45737010389,5.905804411240121,504743.2971142388,2.0,3.0,Locale,Auto,B&B,False,174271.61781932358
36611.64590561108,25.25102856055255,382026.0544941997,2.0,0.0,Internazionale,Auto,Hotel,False,132914.03930106544
51923.67806215006,25.25102856055255,407211.29276655125,2.0,4.0,Regionale,,Appartamento,False,148125.6268610404
61174.92808418692,22.990947738447076,603655.9602441386,3.0,1.0,Internazionale,Treno,B&B,True,211684.85211533503
50652.99244725857,21.236397823867055,414318.9199281529,3.0,0.0,Regionale,Auto,Ostelli,False,149622.77220207517
57648.290009797536,5.6101623695081,419692.44932076265,3.0,0.0,Locale,Auto,B&B,False,154732.47980112757
52353.54122399494,14.886207511474437,301646.4174621912,3.0,1.0,Locale,Auto,Hotel,False,
49208.174855936,0.5762519700141466,640216.9031048963,3.0,,Regionale,Aereo,B&B,True,216669.7583594369
54494.125981081655,18.693863288168775,551414.773837687,3.0,1.0,Internazionale,Aereo,Appartamento,True,192672.09514184695
50854.26682947813,15.77433357043503,520936.89627589146,3.0,1.0,Regionale,Auto,B&B,True,181708.8022975065
54567.736887036284,16.782787760627198,528541.7860079112,2.0,0.0,Locale,Treno,Hotel,True,185846.8042458915
54330.92632717749,21.233469662460354,335406.9144003104,3.0,1.0,Locale,Auto,,False,127788.13748368186
60898.11855107651,18.566188312342057,374417.48429096455,1.0,2.0,Locale,Auto,Hotel,,142774.50456282764
35184.29853346971,29.230495235216363,568936.3105603165,1.0,2.0,Internazionale,Auto,Hotel,True,188273.24243482982
79829.39425291763,13.323508174716972,476111.5160616818,0.0,1.0,Regionale,Aereo,B&B,False,161723.3493943669
79829.39425291763,13.394743984038543,353225.4786825571,2.0,0.0,Internazionale,Nave,B&B,False,122564.35556591128
54463.30861158516,5.091209326969167,440170.1860110309,1.0,0.0,Locale,Auto,B&B,False,159282.91010910188
46834.476176890304,25.25102856055255,675454.6363097326,1.0,1.0,,Auto,Hotel,True,226053.82898136493
,15.138479365804752,423143.1734404598,3.0,1.0,Regionale,Aereo,Hotel,False,149968.14003901396
58670.197072338924,0.46052260401639455,579405.6230677421,3.255510211374088,0.0,Regionale,Treno,Hotel,True,203157.1854564921
42302.06521529264,29.43269721474834,999977.480450842,4.0,2.0,Internazionale,Auto,B&B,,78691.51381190491
51400.17818750953,25.25102856055255,999977.480450842,1.0,0.0,Internazionale,Auto,Hotel,False,147015.83768365363
48207.979046297034,16.065689659663615,604997.7370176954,1.0,2.0,Regionale,Auto,Ostelli,,205603.51062845715
44625.03295102829,25.25102856055255,515501.5038567233,2.0,0.0,Internazionale,Treno,Ostelli,True,176963.36763253112
60865.78882654094,6.379284517423728,524590.8084192234,1.0,0.0,Internazionale,Auto,Ostelli,True,187810.3369390375
,9.138548368647633,,,0.0,,Aereo,B&B,True,200293.9890105054
59025.44551160127,23.225231422482242,587636.4469796574,,3.0,Regionale,Auto,Ostelli,True,205803.85684969786
48318.03593874305,,335920.47005837725,,2.0,Regionale,Aereo,Hotel,False,124935.55898688469
79829.39425291763,,428456.12121449714,2.0,2.0,Locale,,Hotel,False,159100.17099078395
49783.53377097656,16.27768929098655,554230.3129788693,1.0,1.8192667088388248,Regionale,Auto,Ostelli,True,191161.06077914906
65348.77027385882,6.29849812089188,463760.25330604595,3.0,1.0,,Aereo,,False,171803.0611287432
54920.97860612474,4.909573835022361,493526.57172279916,4.0,0.0,Internazionale,,B&B,False,175519.26081990212
47077.20454936134,27.84674508716213,582099.2608677127,1.0,1.0,Locale,Aereo,B&B,True,198168.5805349945
37885.6599081392,5.0216524116001136,312234.49988601357,3.0,2.0,Regionale,,,,112613.77991987368
57282.42090230694,13.807156886567242,446835.66114429064,1.0,0.0,,Auto,Hotel,False,162692.1087944407
44960.3593657166,25.169520427579318,582490.1646902879,4.0,1.0,,Auto,Appartamento,True,197228.02908994464
46359.91132178455,8.028813500354845,509452.69806351064,2.0,2.0,,Aereo,Appartamento,False,176016.16507994547
