Numero di Voli,Numero di Passeggeri,Tempo Medio di Attesa (min),Tipo di Volo,Fascia Oraria di Partenza,Aeroporto di Origine,Aeroporto di Destinazione,Voli Internazionali,Ritardi Media (min),Predict
441.72512778631426,25817.450836795888,52.14263385556828,0.0,2.0,Aeroporto B,Aeroporto B,False,39.5112512086656,
325.5495939395236,18613.98886642563,63.38317097111585,1.8138638656483619,2.0,Aeroporto B,Aeroporto D,False,34.32364682585345,227.88471575766653
541.3364292742841,15092.65424483919,26.715784941725435,0.0,1.0,Aeroporto D,Aeroporto D,True,36.92895748490702,378.9355004919989
731.6871839407719,21548.441863122607,146.501235721362,1.0,1.0,Aeroporto A,Aeroporto A,,43.21466140051293,512.4810287585402
398.2061103111406,24515.08701583811,159.42080488309932,0.0,2.0,Aeroporto A,Aeroporto A,False,19.693514019595067,278.7442772177984
348.27670160252194,22931.386881364022,,0.0,3.0,Aeroporto D,,False,44.05582160422659,243.79369112176533
598.7769865995405,9870.538800336883,114.5810676125948,1.0,3.0,Aeroporto C,Aeroporto A,True,20.068042877719428,419.4438906196783
461.6620112517718,15823.949701162313,161.06246194897028,2.0,1.0,Aeroporto D,Aeroporto C,False,,323.76340787624025
540.5917291632795,15490.213714241021,76.51673967619446,2.0,,Aeroporto C,Aeroporto D,True,11.359310004629592,379.0142104142957
434.73603159120546,25899.328509626823,34.505270989206664,2.0,0.0,,Aeroporto D,False,50.0433338542391,304.9152221138438
494.73579526864023,18357.80161166928,42.266800061823744,1.0,3.0,Aeroporto D,Aeroporto D,False,26.755192192324255,558.6300928089427
439.74630384048703,23705.839083501298,68.04926179208393,1.8138638656483619,2.0,,Aeroporto C,False,47.50341763756779,307.8224126883409
469.2742146060749,19173.453157766337,,0.0,0.0,,Aeroporto A,False,27.034308151114203,
496.70549878998975,19899.32429838764,179.28041626125366,,,Aeroporto C,Aeroporto D,False,,347.6938491529928
410.18734387553536,20788.64043854054,53.84120112720034,2.0,0.0,Aeroporto A,Aeroporto A,False,21.931658053454452,287.7311407128748
530.5182470633002,24545.761772030688,128.57279175522095,0.0,3.0,Aeroporto B,Aeroporto C,,29.579120594976153,371.36277294431017
404.0732065828577,21350.38798399418,111.21632957539633,2.0,1.0,Aeroporto A,Aeroporto C,False,27.302543170766416,283.4512446080004
353.6846755671696,13658.9638499961,169.84817842671563,1.0,0.0,Aeroporto D,Aeroporto D,,44.74723772835006,558.6300928089427
517.8036428678676,18248.622040970957,158.73936995602034,2.0,1.0,Aeroporto B,Aeroporto A,True,24.958336800346885,363.0625500075073
541.502695511169,22340.049249997734,61.1746376678851,,1.0,,Aeroporto D,True,36.13774362449383,379.6518868578183
479.9957566235029,28249.405284277324,53.756034045003666,,2.0,Aeroporto B,Aeroporto C,False,22.701563609689302,335.99702963645206
383.26172837381165,18427.097217693536,95.02790425444402,2.0,1.0,Aeroporto D,Aeroporto D,False,37.69715065948363,268.88320986166815
,30095.282706775673,51.894670473464686,1.0,2.0,Aeroporto C,Aeroporto C,False,13.61775794274773,305.0538894338238
573.3868660982766,19696.985663204458,32.14609660832812,1.0,0.0,,Aeroporto B,True,29.5820621437894,401.6708062687936
312.4440421588163,12493.586837284282,153.5227186326681,0.0,0.0,Aeroporto D,Aeroporto C,False,39.149806942390015,218.71082951117137
327.5092501004724,17391.247199989513,173.97075650369737,0.0,1.0,Aeroporto B,Aeroporto D,False,19.862121311749398,229.25647507033065
482.616114545562,19090.661030368112,65.86937093921335,1.0,0.0,Aeroporto A,Aeroporto B,False,28.74693317395173,338.13128018189343
331.6161949466592,16900.382936993123,102.18276598184498,1.0,1.0,Aeroporto C,Aeroporto D,False,24.99735250287759,232.43133646266145
368.73439541039176,14181.094301382276,0.16327593499120496,0.0,1.0,Aeroporto A,Aeroporto C,False,50.0433338542391,258.1140767872742
837.5499578982217,25048.313985581997,1.503791874457121,0.0,0.0,Aeroporto B,,True,37.6141852660304,586.2849705287551
416.8809023498678,22653.269160037027,130.27694531256302,1.0,2.0,Aeroporto D,Aeroporto B,False,17.45951422655719,292.11663164490744
446.6696885955171,17214.6472354246,174.9114545633754,1.0,0.0,Aeroporto C,Aeroporto A,False,26.8356043462694,312.96878201686195
375.9275754235098,19106.854309201924,,0.0,,Aeroporto B,Aeroporto C,False,0.0,263.1493027964568
613.9325559346186,27033.458763681057,29.85067590678719,2.0,,Aeroporto B,Aeroporto D,True,39.210821647377664,430.352789154233
383.2570268182972,10352.956256181169,54.681981915383254,0.0,1.0,Aeroporto D,Aeroporto C,False,15.878965719330312,268.27991877280806
467.58229573326804,16983.605750771683,132.02343311285713,0.0,1.0,Aeroporto A,Aeroporto B,False,11.397822297954555,
573.7685339166643,32955.938903908565,4.314452486418419,0.0,2.0,Aeroporto A,Aeroporto D,True,27.85112727234225,401.637973741665
499.2225516632371,15046.066412960921,24.180219015859343,2.0,1.0,Aeroporto B,Aeroporto C,False,30.92109096731814,350.05578616426595
472.2278945527799,26953.677381278285,74.37927504416076,2.0,1.0,,Aeroporto A,False,45.1657054293743,331.1595261869459
