Ricavi Totali (Euro),Profitti (Euro),Dipendenti,Settore,Rendimento del Capitale,Soddisfazione dei Clienti,Quota di Mercato,Crescita Fatturato (%),Obiettivi Raggiunti,Predict
5084714.800175119,1671561.5583473835,314.0,1.0,24.259975191771716,71.68357076584783,95.67151366735023,11.531348396171605,False,3043828.173861454
2748766.9166619307,1740669.4619338796,,0.0,27.52305032328288,79.7122767016043,15.809982797302514,7.490640026594363,False,1896585.7950391346
,2786250.5782801295,308.0,0.0,23.61641510653665,80.18584792319234,54.464222437886065,11.202529232542565,True,3144525.411265888
4334729.965014685,2821283.8925126824,312.0,0.0,21.349920719629733,80.56134013071372,58.372029458007056,15.563270227359608,False,3013753.2629151926
5290522.313825859,2229464.2300093784,294.0,0.0,-7.973787813466515,80.97521307899075,0.14535772111055056,9.632181739067825,True,3314102.3523520906
4622322.255918983,2154817.367375381,285.0,2.0,19.97460777313364,82.87788962894642,44.92185116304328,11.818922068981198,False,2957608.70195652
4477269.419081283,1037814.9892165075,294.0,0.0,16.35085628409137,80.78542071095497,11.166029902437469,4.681540408137742,False,2549980.1426136754
5650970.680505345,2426712.7171455724,312.0,0.0,13.879045075740898,77.29055005811189,75.59455892888492,1.1135238711241726,True,3553499.3781011184
4795715.945848293,1341153.7284016286,289.0,0.0,25.507579114210948,80.14151834850959,7.975775929856277,3.046440365846167,False,2800204.700732708
6125462.455023005,2691353.3443866037,317.0,0.0,18.175395044869767,76.68638780210021,2.468878276176767,11.765357089594703,True,3870139.5838989015
5106001.0696952585,2444217.2511102697,293.0,2.0,8.069808748606388,74.65720367417947,26.96774283554455,11.293253102567112,True,3286267.9688313305
4589934.957439211,2550919.0605262783,312.0,0.0,0.019690728525802115,74.70059775073113,83.6775890260726,13.400035718251004,False,3060245.8768846327
4716664.98212818,1481793.3211819902,306.0,2.0,22.83910740777089,82.22104506181908,40.45087681528099,5.900226795751782,False,2802871.6674640463
6178851.208744789,1746201.5711146896,305.0,2.0,-2.6762137584699586,68.8995689581592,9.345583420088365,-1.7429648816619192,True,3613285.7271138253
4339458.714918087,1995570.1992563887,325.0,1.0,-0.9552102111711172,81.1618393030357,55.80717382381144,17.546753285853832,False,2768403.9265866172
6788058.58384356,1973111.7793191487,288.0,0.0,26.461740010379465,83.15015741015242,57.015039501260766,13.952092641940599,True,3985965.616136053
3721193.108232019,1861948.2361749385,306.0,1.0,19.390514545882986,90.61641352669524,,14.270124688271524,False,
7413029.935067456,396971.60927661066,267.0,0.0,22.48582506168176,85.69272060657092,35.88041829615136,-0.07296242498565242,,3825606.4357242263
4428480.215393284,1907082.8681479895,310.0,0.0,16.13458111654007,80.39906478408633,,12.398963857740092,False,2786367.4479338103
5710116.6694482425,1936618.3327851093,293.0,0.0,3.4491433903556867,79.76631839147609,45.391446041997206,13.576429233606744,True,3436046.5498455004
5495810.842234264,2172602.10377384,300.0,,,77.31510225077712,55.01079485663368,15.683202516480378,True,3399689.188889787
4717429.509639378,1980060.228919401,278.0,1.0,3.538665546020896,,69.58654510124128,18.72365138034371,False,2952736.568225785
6021477.074545031,2181448.4452136303,301.0,2.0,14.138657474864566,70.15254053242958,68.67840336775225,4.2753602867844664,True,3665173.925908662
5942128.152471171,2915309.7526841816,293.0,3.0,27.73777606728133,,95.20563882982572,16.75588377972324,True,3845660.3532175957
4962690.183344772,,307.0,2.0,-4.617640918453665,87.51234475527698,56.00918711433106,20.003196642846266,False,2948322.7529693088
3499875.7573475046,1725667.3408554809,311.0,2.0,14.708924376555164,86.8162554420029,67.36095950742667,6.379749329917225,False,2267639.3568802625
5290743.132794588,1599599.7548344405,357.0,0.0,-7.166753528925849,,85.70948295233767,16.706680372510412,,3125254.8341837004
4525255.422070372,1859898.0681961859,291.0,1.0,-9.19105119488021,70.75123254651857,52.82148675584729,7.366116651768825,,2820598.604717372
5326716.650259188,1761596.6639780346,285.0,,8.446846484632427,79.19280150725149,66.75385222010968,17.54055289073361,True,3191840.8324335827
5159514.1076335395,1776924.6260973539,312.0,0.0,20.803849753252578,83.73027477594408,17.120754665775063,,True,3112836.325674424
4749420.119932794,2577443.1406911286,290.0,3.0,26.473589228428345,86.15392796093995,77.92461195318181,7.019696801048709,True,3147944.406113096
4947452.15172427,2879469.5429550004,274.0,1.0,4.980489936012159,76.52232269856033,31.362158785361306,8.960703186302116,True,3337568.730889272
