Consumo Giornaliero,Ore di Consumo,Tipo di Apparecchio,Giorno della Settimana,Temperatura Media,Tipo di Edificio,Area Geografica,Uso dell'Energia,Fonte Energetica,Anomalia Consumo,Predict
1138.8977172919704,12.915428281233368,22.0,1.0,19.059389352256304,Residenziale,Nord,Climatizzazione,Gas,False,234.78890309219432
2434.1652211606965,19.256320175219784,19.0,3.0,9.304576893008571,Commerciale,Nord,Elettrodomestici,Gas,True,491.5500493175639
938.463911238935,23.27506069053882,,3.0,4.737421970031647,Residenziale,Nord,Climatizzazione,Elettricità,False,191.44151490785038
1671.2849083033393,15.740537600290242,15.0,2.0,4.053558726394623,Residenziale,,Illuminazione,Elettricità,False,337.04710303861526
2174.65055062985,14.851884386680208,25.0,7.0,17.894130699095516,Commerciale,Nord,Illuminazione,Gas,True,441.7835377743667
2093.017600442234,12.423633401202391,,6.0,19.836340125952052,Residenziale,Sud,Illuminazione,Gas,True,425.79678546635273
1342.9100067930337,22.826110733957428,17.0,4.0,9.71059708827148,Residenziale,,Climatizzazione,Elettricità,False,273.77779155848395
2038.800859437406,21.800739983982027,30.0,3.0,21.8358615874364,Residenziale,Sud,Climatizzazione,Elettricità,True,416.4910043621103
1838.1316555510912,2.224549249052666,23.0,3.0,13.90859645499662,Residenziale,Sud,Illuminazione,Elettricità,False,372.0213649716225
3129.4928723629423,14.631996709354986,18.0,2.0,12.186493617468457,Residenziale,Sud,Riscaldamento,Elettricità,True,631.0177222287646
2547.607705901839,20.82714926134868,23.0,1.0,2.7854487145373845,Residenziale,Centro,Climatizzazione,Gas,,512.4398907208639
2326.164174967865,3.3253299366580453,15.0,3.0,24.622981772046014,Commerciale,Centro,Illuminazione,Elettricità,True,472.95226251885265
2329.197917366081,10.7772533498574,25.0,0.0,40.0,Commerciale,Sud,Elettrodomestici,Elettricità,True,478.917308808202
1218.0602500799496,15.229337545421004,25.0,5.0,5.898800283267429,Residenziale,Sud,Riscaldamento,Elettricità,False,246.90462385551226
2632.876106851898,18.59934165699355,18.0,5.0,12.986638928685975,Residenziale,,Climatizzazione,Elettricità,True,532.3311472146847
1741.5904758472639,15.227608433184107,25.0,5.0,12.479318714922087,Industriale,Centro,Elettrodomestici,Elettricità,False,353.58465162724787
1090.6802807397698,22.36075819148381,21.0,1.0,-5.384945127789681,Residenziale,Centro,Riscaldamento,Elettricità,False,218.75664842876543
2146.8106045699396,,19.0,,14.194284396046141,Residenziale,Sud,Illuminazione,Elettricità,True,435.0284529511796
1092.7884716871588,23.532423010298498,,7.0,17.25680232029501,Residenziale,Nord,Illuminazione,Elettricità,False,226.08797733455012
1435.0430812114719,0.31756877647817827,17.0,,7.950213977595487,Commerciale,Sud,Illuminazione,Elettricità,False,289.42543731322087
1733.3587935006096,12.885297448304815,17.0,3.0,24.92514062426789,Residenziale,Centro,,Elettricità,False,355.4378306322328
2424.8775276472625,16.9772355565713,24.0,2.0,33.689832991200575,Commerciale,Sud,Climatizzazione,Gas,True,496.7801789824698
2565.4762619899484,9.671545882723855,26.0,0.0,25.87020317296928,Residenziale,Centro,,Elettricità,True,521.8234679381528
2359.3316614301852,4.922051347026992,12.0,4.0,21.512747286282185,Residenziale,Sud,Illuminazione,Elettricità,True,478.8123616066244
2060.9632421750516,13.926215272443768,16.0,7.0,16.007935484318548,,Centro,Climatizzazione,Gas,True,418.3876506075503
2264.700464462983,0.8298366194431983,19.0,2.0,29.6054178792969,Commerciale,Centro,Illuminazione,Gas,True,461.9047019183299
815.218685951601,12.746767252550677,26.0,2.0,16.838343279162206,Industriale,Centro,Climatizzazione,Elettricità,False,169.36991689932393
1690.2967161146632,23.368229360696244,20.0,3.0,23.180593262365164,Commerciale,Nord,Elettrodomestici,Elettricità,False,345.76411169152175
1507.6465943655078,20.79974810841583,22.0,4.0,11.376543557727885,Residenziale,Centro,Riscaldamento,Elettricità,,803.2647129604411
1508.195871478082,18.863934426591847,20.0,5.0,22.746352530192706,Residenziale,Nord,Climatizzazione,Elettricità,False,310.3494734973334
2982.237143750955,11.11410957900086,20.0,,14.591864593698295,Residenziale,Nord,,Elettricità,True,601.9363990862006
1761.21513490314,15.31751062787384,24.0,1.0,13.061433926461643,Industriale,Sud,Riscaldamento,Elettricità,False,357.6932082213539
1767.1227961900727,22.66226415801167,16.0,3.0,13.803633713710477,Commerciale,Centro,Riscaldamento,Rinnovabili,False,359.83187576792886
909.9452332998933,20.826083860041532,19.0,5.0,35.74555399386624,Residenziale,Sud,Riscaldamento,Elettricità,False,194.79532124414268
2266.6347065031496,0.6628592206828099,23.0,4.0,5.767063247260058,Commerciale,Centro,Elettrodomestici,Elettricità,True,455.12334619687624
1982.817189858218,23.221473223681798,19.0,4.0,1.9718973952295737,Commerciale,Sud,Climatizzazione,Elettricità,False,399.4771545125806
2666.8800332924156,1.9591268186316082,15.0,1.0,26.856249236673158,Industriale,Centro,Elettrodomestici,Elettricità,True,541.6287941113483
1603.8747127176875,19.393599393836517,18.0,,13.825567914833375,Industriale,Sud,Illuminazione,Elettricità,False,326.8619728573712
1323.2569222093184,22.770399823921935,13.0,3.0,14.21178337483534,Residenziale,Centro,Elettrodomestici,Elettricità,False,271.19195943670644
1888.4393005255395,15.73979849060483,23.0,5.884165917495156,19.435400619971773,Residenziale,Nord,Illuminazione,Elettricità,False,385.0924601401599
