Produzione (kg),Prezzo (€/kg),Area Coltivata (ha),Tipo di Coltura,Numero di Lavoratori,Stagione di Raccolta,Tipo di Terreno,Regione,Metodo di Coltivazione,Successo Produzione Stagionale,Predict
,3.3107899067276714,123.0065141297028,5.0,38.0,1.0,Agricolo,Nord,Tradizionale,True,2179.744626764214
4218.264701394374,0.8751469264316181,30.738631754142233,0.0,25.0,3.0,Agricolo,Centro,,False,1696.5274700839925
6313.888719368108,0.06971076911409302,68.8031756062986,3.0,27.0,3.0,Montano,Sud,Biologico,True,2547.096440429133
3411.050375194884,2.2951908628909927,62.387331478566196,7.0,38.0,10.908506055947074,Agricolo,Nord,Biologico,False,1385.2363495215234
5462.079812747111,0.08821539599916495,113.23871168582413,6.0,17.0,5.0,Agricolo,Nord,Biologico,True,2220.603538604592
6906.480980548827,0.0610589311242421,115.99025369541852,2.0,33.0,6.0,Boschivo,Centro,Biologico,True,2797.989468328156
4723.685973513816,4.4355121759681575,145.4668023719281,4.660423276871811,35.0,7.0,Agricolo,Centro,Biologico,False,1933.4144301171048
4701.941879094525,3.7521616650293064,110.01825476815436,3.0,32.0,3.0,Montano,Centro,,False,1914.6822280682563
5070.213619251908,4.069250931204589,85.54800670230672,,30.0,7.0,Boschivo,Centro,Biologico,True,2054.0498497114554
6425.289002335885,3.7175694517143754,113.76376245133439,,48.33457708975222,6.0,,Nord,Biologico,True,2604.5447296697544
3476.4660405486816,3.40462116339479,52.90967685482629,2.0,33.0,10.0,Agricolo,Sud,Biologico,False,1407.0593192759206
5715.346390269482,2.6633451729543287,,1.0,37.0,6.0,Agricolo,Nord,Biologico,True,2310.796137447418
1026.7881089714592,2.267776077380364,82.71160833579424,1.0,25.0,7.0,Agricolo,Centro,Biologico,False,3478.2426497357187
6850.667405342749,4.276029751417189,104.18572922672782,2.0,35.0,11.0,Montano,Sud,Tradizionale,True,2772.1226809051177
3413.4892729089756,3.918833872828897,34.853649778765345,3.0,37.0,3.0,Montano,Centro,Biologico,False,1376.75180409722
6004.937244580336,,176.15362612665325,5.0,30.0,4.0,Agricolo,Nord,Biologico,True,2429.6235448241923
5669.583678135185,,142.34771686514927,4.0,35.0,5.0,Boschivo,Sud,Tradizionale,True,
4040.29980613002,2.4659463749356263,94.77245051580543,1.0,23.0,4.0,Agricolo,Sud,Biologico,False,1644.8516576067495
7664.788697092695,1.4361425890664725,97.96745092861025,6.0,29.0,8.0,Agricolo,Centro,Tradizionale,True,3097.105714115661
5990.290968442496,4.05833644483866,111.04266640200957,2.0,29.0,,Agricolo,Sud,Tradizionale,True,2430.0291872976013
4855.405620308173,0.954219456087434,60.57408215273179,4.0,21.0,7.0,Agricolo,Sud,Biologico,False,1961.5344727690888
3973.829618187639,,58.87460371960939,5.0,26.0,6.0,Montano,Nord,,False,1608.6942283909386
7704.185965818284,3.705432732476738,,7.0,34.0,12.0,Agricolo,Centro,,True,3103.622353276891
5762.706558654074,2.5627391183794144,105.11669013506055,1.0,25.0,10.908506055947074,Boschivo,Centro,Biologico,True,2336.917630502148
8380.898407159872,4.230714384567414,117.63630108512298,2.0,36.0,,Boschivo,Centro,Biologico,True,3388.2502531894856
6084.5133917563,4.491707512028739,100.2419687795838,5.0,29.0,11.0,Boschivo,Sud,Tradizionale,True,2465.377947336395
2775.7814163907906,2.6784542888772234,93.23713712668079,1.0,31.0,8.0,Montano,Centro,Tradizionale,False,1138.5837076943205
4432.868370296395,2.918554547561749,101.08123198257596,3.0,48.33457708975222,8.0,Boschivo,Sud,Tradizionale,False,1804.3717177133312
3651.626073521278,2.9456604454725666,,8.0,35.0,10.0,Agricolo,Sud,,,1512.5017149496157
5383.853676326321,1.6134193631871203,89.75344283569596,2.0,37.0,7.0,Boschivo,,Biologico,True,3478.2426497357187
7694.665029177284,4.238242049633202,60.53474825052575,2.0,29.0,7.0,Agricolo,Sud,Tradizionale,True,3096.6264361460717
4262.979093148691,2.2380287595686905,164.85979906747804,4.0,40.0,4.0,Boschivo,Sud,Biologico,False,3478.2426497357187
5231.387348038351,0.3633755418244722,123.13223744288155,2.0,20.0,5.0,Boschivo,Sud,Biologico,True,2130.0946104482045
4031.4878745909796,,74.26387838575744,4.0,32.0,7.0,Boschivo,Nord,Biologico,False,
4550.409521805677,1.8843294731921594,91.62484985982275,3.0,23.0,8.0,Agricolo,Nord,Biologico,False,1848.5512636802177
6054.649191847871,3.0881562587482927,,1.0,44.0,10.0,Agricolo,Sud,Tradizionale,True,2453.1427037849817
3347.464267801759,,101.95993844506319,6.0,,11.0,Agricolo,Nord,Tradizionale,False,1371.3736886542226
,3.864995370169807,88.49014792586826,1.0,,5.0,Boschivo,Centro,Biologico,False,1651.4727656323569
3523.7780124999267,0.21367528235156863,116.20845623129748,1.0,48.33457708975222,4.0,Montano,Centro,Tradizionale,False,1444.67374186936
8215.80231871181,4.006470783776656,70.79620875390472,6.0,26.0,6.0,Boschivo,Sud,Biologico,True,2515.5557338754024
4267.958178512172,4.991796924160043,54.83230329128045,2.0,34.0,8.0,Agricolo,Centro,,,1724.2329623922528
6660.684739370382,1.8207167412765146,73.53979071993209,4.660423276871811,48.33457708975222,,Montano,Centro,Tradizionale,True,2687.2358329641324
3979.5466799142696,2.5965497021666755,115.19914476430611,2.0,36.0,4.0,,Centro,Biologico,False,1626.9784153949995
4150.8900414577665,,107.0134408319151,3.0,24.0,4.0,Boschivo,Sud,Biologico,False,1693.3600488326815
6445.646715375553,3.493390841845833,176.15362612665325,2.0,26.0,4.0,Montano,Centro,Tradizionale,True,2604.6388653429412
3788.0229452174704,1.7300012269453646,107.18954150496792,1.0,30.0,7.0,Agricolo,Sud,Biologico,,1547.6660405384785
6807.138638390343,1.4363209881754713,103.06248705558134,3.0,,6.0,Boschivo,Centro,Tradizionale,True,2754.6742014728115
4432.147861262771,2.1350545569539348,87.93591770950488,2.0,26.0,5.0,Agricolo,Centro,Biologico,False,1799.8399198179598
5592.60842153468,,,2.0,39.0,4.0,Boschivo,Centro,Biologico,True,2264.1317131828278
5984.683235344827,0.8212105105500944,121.24443747247477,4.0,32.0,5.0,Agricolo,Centro,Biologico,True,2431.446625379673
6047.861286076991,2.3320774903977144,140.7021081659664,6.0,28.0,5.0,Agricolo,Centro,Biologico,True,2463.1551468805865
3487.444772135154,1.1992392936192564,91.09673111432875,2.0,23.0,12.0,Boschivo,Centro,,False,1422.9069281883603
6150.8536807557775,4.751459507105691,98.09631319478201,7.0,35.0,3.0,Agricolo,Nord,Biologico,True,
4795.845939494588,3.2212937819110845,107.5596298116327,2.0,38.0,9.0,Montano,Centro,Biologico,False,1951.206264741325
6950.735915422165,1.961253925127406,135.36182566569786,2.0,34.0,3.0,Agricolo,Centro,Biologico,True,2821.5029138685754
6057.217333259779,4.713733559086783,105.75130325390919,1.0,28.0,6.0,Agricolo,Sud,Biologico,True,2454.9123242800842
5123.639011577876,1.3436188652475174,104.86197259652194,4.0,24.0,7.0,,,Biologico,True,2082.1141964101066
4791.734589254277,0.07920183252953628,106.20779323486668,1.0,31.0,9.0,Boschivo,Sud,Tradizionale,False,1948.8561736721708
