Tasso di Mortalità,Numero di Visite Ospedaliere,Incidenza di Malattie Cardiovascolari,Fascia di Età,Stato di Salute,Numero di Vaccinazioni,Tipo di Malattia,Area Geografica,Stato Economico,Emergenza Sanitaria,Predict
4.855159998769662,1261.813455014839,57.00561904462958,4.0,5.0,81.0,Cardiovascolare,Sud,Basso,False,523.0270677193246
6.700401358164066,627.520227172515,192.3466426123924,1.0,0.0,107.0,Cardiovascolare,Nord,Medio,False,309.01208365272373
6.311350050964503,2990.014695279842,184.05591708539376,1.0,1.0,94.0,Respiratoria,Nord,Medio,True,1251.5226532375548
4.437012152509366,2405.2846570426236,142.68803194103526,3.0,,108.0,Cardiovascolare,Centro,Medio,False,1005.8202723993601
4.2607493929461935,,,1.0,,99.0,Cardiovascolare,Sud,Medio,True,1468.0002757473646
1.100644262680344,,134.05716123072617,2.0,1.0,120.0,Oncologica,Nord,Medio,False,395.27164799488696
5.614033187003553,464.28226813141015,249.3821083213162,1.0,0.0,,Cardiovascolare,Centro,Medio,False,260.82753974895894
5.686438561390358,631.0962973339068,179.91144781802674,4.0,,73.0,Respiratoria,Centro,Basso,False,307.61195327897076
8.567022947349766,4601.1779802473675,130.7385110900363,3.0,2.0,89.0,Respiratoria,Centro,Alto,True,1880.5927454259581
4.088594967746416,297.72884100996265,133.94054456798415,3.0,2.0,114.0,Cardiovascolare,Nord,Basso,False,160.1736997743803
7.038727817292498,4108.567674788954,163.6490685790532,3.0,0.0,93.0,Oncologica,Sud,Medio,True,1693.4217904892976
8.58141209682695,472.1518137729319,233.01629796946153,1.0,3.0,106.0,Respiratoria,Centro,Alto,False,259.0656149000112
5.120273732369571,1181.5696638464224,287.4121339688535,0.0,0.0,92.0,Respiratoria,Nord,Basso,False,558.851505729225
4.7043959315150845,2766.1281770843166,98.96640926148241,1.0,1.0,107.0,Oncologica,Sud,Basso,True,1136.4411936121714
5.394973691955969,782.5486243168184,178.67240075292955,1.0,1.0,107.0,Cardiovascolare,Sud,Alto,False,366.92116995260625
5.294183434958328,3141.13030371078,394.5615393481845,1.0,0.0,81.0,Cardiovascolare,Sud,Medio,True,1304.8218078547397
