Numero di Risposte,Età Media Rispondenti,Soddisfazione Generale,Metodo di Compilazione,Affiliazione Politica,Soddisfazione con il Governo,Interesse per il Futuro,Predict
5195.568211191507,71.82694246178639,,Cartaceo,Socialista,True,8.655754835413836,51.76873831807159
4528.8102454713835,42.66531253582535,6.032689167758745,,Conservatore,True,5.674321578444132,31.675525525405366
4737.575461682256,51.20298267343971,5.277412413797497,Online,Socialista,True,7.545340424312977,37.42531159554705
5112.970223538202,38.40161033307783,,Cartaceo,Indipendente,False,8.388909174579025,29.30746098513152
3958.017533208929,40.54667766344438,9.366550547835935,Cartaceo,Liberale,True,7.195883912739591,31.192639528761845
6725.0625054783895,22.28856442968399,6.049652762319633,Online,Indipendente,False,5.255561743705068,17.416890929474683
5766.265018520019,35.780178876943495,5.004131778783696,Online,Liberale,False,7.187800719746377,26.547364747495553
5158.0610653478525,43.03737528022362,8.017617349859067,Cartaceo,Liberale,True,8.227866859731032,32.531447901114255
4733.11461648059,,8.750362926096852,Cartaceo,Liberale,True,4.038167391514186,33.06974501462901
3353.732626035544,24.203642141843336,8.058098203393266,Online,Conservatore,False,9.019676085801233,19.35997896030831
6402.4671538460225,41.58465689370551,8.843127820539191,Cartaceo,Indipendente,True,5.991933845321157,31.76219817175561
4468.907444240393,45.256549274518534,9.663549692665127,Cartaceo,Socialista,True,4.404483132474601,34.57864939996251
6152.07613388759,35.87158803877655,7.176860991093354,Online,Socialista,False,,27.26316992447159
,34.91774439879674,4.908168712065239,Online,Socialista,False,4.971400922594748,25.91487169277729
6102.451283340085,47.752076448664006,4.285642307925564,Online,Socialista,True,5.761010373688941,34.712146206442476
4175.989026050902,36.74757193390259,1.1686817539228116,Cartaceo,Indipendente,,3.7315268272478876,26.073904879908657
4258.533945206282,42.38145439502478,6.029860414025758,Online,Indipendente,True,7.414637437343821,31.47597620072507
5016.341365420108,28.045220694587027,9.110755032588756,Cartaceo,Indipendente,False,4.356420798949078,22.364880995987544
3359.778279403872,47.73847475093177,6.69827471931227,Online,Conservatore,True,6.497764118504843,35.426414741445925
,57.06270657132869,7.077488400865292,Cartaceo,Conservatore,,5.9494018196944385,42.06714112018967
4142.948557232689,42.41049109273915,7.678854735953457,Cartaceo,Liberale,True,7.183038499233568,31.99100018570344
5191.881985360631,55.20164025241465,4.754904839125961,Online,Conservatore,True,5.874008220850737,40.06761962842804
5950.885420807521,37.77895550192385,6.123122172182958,Online,Conservatore,False,4.673253438786148,28.282205503001585
6444.117507243386,62.89624588299132,5.804980516131003,Online,Indipendente,True,8.509003000390992,34.1276127937215
4422.912192208727,32.51199012918013,9.463946609534245,Cartaceo,Liberale,False,6.683105008705991,25.59757707328636
6470.020130281848,41.85867915383914,10.0,Online,Liberale,True,4.514672574047816,32.30107540768739
4009.115414682905,48.03204554547777,8.293364270135633,Online,Socialista,True,7.179551105835064,36.11044116287513
5510.412823995529,54.50615988047581,4.2538255062733,Online,Conservatore,True,4.138246585230139,39.430459568215056
5615.437881508428,58.13634606348354,9.183909519508436,Online,Indipendente,True,8.18732708422215,
5889.058944798229,39.41546252571745,,Online,Socialista,False,7.516419228362691,59.17064240297286
5646.137810037842,38.11463415248775,7.463233502327477,,Conservatore,False,10.0,28.919213957439666
5265.296049695497,46.80944994982311,6.973954737952357,Online,Conservatore,True,6.586973052985293,34.85880138626188
4843.39035270204,30.34037537599447,6.143644512150215,Online,Socialista,False,4.902639521104736,23.08135611684119
4653.276276983788,34.866029811408325,9.128459365763053,Cartaceo,,False,5.538580302324364,27.14475867771474
4899.962419937871,43.229870941618074,10.0,Online,Conservatore,True,4.087556762941743,33.26090965913265
3736.5169885599157,40.049819202849626,6.473782714412948,Online,Conservatore,False,4.298169925061008,29.977008256318623
4757.69486740251,35.528978553699396,3.3110854074522913,Online,Liberale,False,5.254594670862148,25.863610609825262
3458.1312163421435,37.830535345019214,5.54799133915175,Cartaceo,Liberale,False,2.6023154374357875,28.145772143258974
5119.803930790963,37.05602468051198,6.543223285073209,Cartaceo,Liberale,False,6.998456298037867,27.902184261880347
5044.812371031133,40.40858886388262,8.047666548620455,Online,Socialista,True,5.346976243859245,30.700312169303967
5024.839642498155,33.62587255530663,4.663384382261795,Online,Conservatore,False,4.345695179210332,24.93712610339318
4041.7968371690195,38.97381989375884,8.76745424169104,Online,Conservatore,,4.734195574353909,29.911910198138496
5000.233069769017,18.0,8.71933815346367,Online,Liberale,False,6.038874421901811,15.215801446039102
5869.892393915461,23.040652811543957,9.37706747440932,Online,Conservatore,False,4.387773213645934,59.17064240297286
6046.045988608894,44.50349164604918,9.40733224749158,Online,Conservatore,True,2.632921952184727,
5668.553266914646,47.835731989122095,12.144614355075454,Cartaceo,Conservatore,True,11.34736357894399,35.89786342689611
,,9.885538345667118,Online,Conservatore,False,4.908778246256416,29.868450166760713
6207.47903795849,19.78979285197895,3.285310464084967,Online,Liberale,False,4.806302366437809,14.838448135610754
,21.807374930430836,7.544324318013385,Cartaceo,Indipendente,False,3.7022182246983153,17.5284597467056
5743.889170763512,46.37223542486012,8.703308971314861,Online,Conservatore,,3.6140401464334335,35.07155748879654
7070.386831111167,37.54119986345757,4.7970984944178126,Online,Indipendente,False,5.516891436504136,27.717969452745642
6532.343949131223,42.39727420327602,6.758426663588945,Online,Conservatore,True,4.785636232843446,31.705619941369893
