Consumo Giornaliero (kWh),Numero di Abitazioni,Temperatura Media Giornaliera,Tipo di Settore,Fascia Oraria,Consumo per Settore,Giorno della Settimana,Fonte di Energia,Tipo di Contratto,Efficienza Energetica,Predict
1864.8738605617764,9926.547278607752,19.244264735054422,1.0,2.0456147265980538,1004.0,Giovedì,Eolica,Commerciale,False,938.6102097014045
1715.7261953202542,9859.298237143255,23.668836549155706,1.0,0.0,979.0,Venerdì,Fossile,Residenziale,False,864.9637486248738
1929.0233964761164,672.0862693100249,20.48801482209743,1.0,1.0,1023.0,Martedì,Eolica,Commerciale,False,970.8581026846875
1831.5178136549598,2947.2280459485532,12.097677105861642,2.0,1.0,990.0,Venerdì,Eolica,Residenziale,False,919.5882099592385
1789.1371041976083,3728.5591693497167,13.7800654511156,0.0,0.0,962.0,Martedì,Eolica,Residenziale,False,898.7025717341388
2329.2991980223346,3796.1529073329248,13.335487466308335,0.0,2.0,1021.0,Martedì,Eolica,Residenziale,True,
2710.0428619892455,7809.0254573600605,20.745790201779023,0.0,2.0,958.0,Lunedì,Fossile,Residenziale,True,1361.6451680551565
2369.90083266221,884.3979557012005,20.634673308052736,0.0,0.0,1029.0,Martedì,Idroelettrica,Commerciale,True,1191.140818323521
2500.6668305105704,8167.669765587834,20.5984371040598,2.0,0.0,,Martedì,Fossile,Residenziale,True,1256.5129463865032
1987.5143083925145,7930.616714279751,,0.0,1.0,1044.0,Domenica,Solare,Commerciale,,999.055872216376
1311.6223492403058,530.4726288707274,19.34937819082383,2.0,0.0,1037.0,Lunedì,Fossile,Residenziale,False,661.6159880774001
1924.3905128497959,,10.394803316040843,1.0,1.0,972.0,Sabato,Fossile,Residenziale,False,965.5136974197102
1769.454659805313,9536.198280264389,23.651117410583414,0.0,1.0,1023.0,Martedì,Fossile,Residenziale,False,892.0226651258315
2239.405034108009,8505.781229794813,16.880551290009606,1.0,1.0,999.0,Domenica,Fossile,Commerciale,True,1124.9666824410076
2270.2619881935852,4954.355785727741,25.2286157109724,2.0,1.0,989.0,Mercoledì,Idroelettrica,Residenziale,True,
1689.165613443296,1795.282684880658,14.1722649867822,1.0,2.0,973.0,Domenica,Fossile,Residenziale,False,849.2344862176826
2210.214724560328,8167.669765587834,6.091865353941264,2.0,2.0,942.0,Lunedì,Solare,Commerciale,True,1107.3349218863464
1662.468583842629,1492.5139190407067,16.336807515771923,2.0,2.0,1524.5284221994536,Mercoledì,Fossile,Industriale,False,836.535334176046
2412.9524898805494,3584.9839664105075,13.213911366548453,1.0,2.0,928.0,Mercoledì,Eolica,Residenziale,True,1210.8404183502394
2686.8551296494707,9283.750899277891,,0.0,1.0,967.0,Lunedì,Fossile,Commerciale,True,1348.1154161565032
2213.734356089604,3383.1078304715256,7.689803049356283,0.0,0.0,979.0,Sabato,Solare,Residenziale,True,1109.1741189596087
1637.0373640822088,6991.802953057077,8.996325343075894,,4.0,957.0,Venerdì,Solare,Commerciale,,822.0175796440271
2212.688773125261,5091.306347554858,19.694633694338048,1.5429698311563047,2.0,921.0,,Solare,Residenziale,True,1112.6527766709319
1558.9283428029084,8921.538598247127,13.301775149715553,1.0,,1004.0,Sabato,Eolica,Commerciale,False,783.4547039463689
