Numero di Veicoli,Velocità Media,Incidenze,Tipo di Strada,Veicoli Sostituiti,Numero di Incidenti,Categoria Strada,Ora del Giorno,Giorno della Settimana,Allerta Traffico,Predict
,74.29960784834512,7.330744950569928,9.0,88.0,13.0,Strada Urbana,Sera,Giovedì,True,1070.582876556824
4746.121562351503,117.18197919031232,5.222871549597581,9.0,98.0,9.0,Autostrada,Mattina,Venerdì,False,939.0729760161486
4557.995467124654,67.77026585095439,4.715292459976906,10.0,96.0,,Autostrada,Mattina,,False,906.2366545778285
4376.879395818779,98.173866455547,7.807941292391544,9.0,103.0,5.0,Strada Urbana,Pomeriggio,Martedì,False,867.9008749059185
3960.453690119914,34.86634682527635,2.8043844278797696,4.0,91.0,6.0,Strada Urbana,Sera,Giovedì,False,789.4454186698191
5132.177706698721,99.13650083736928,,6.0,101.0,15.0,Autostrada,Notte,Martedì,True,1017.0157483126491
4570.208988156441,89.86622129793402,3.6615401806319685,7.0,96.0,12.0,Strada Provinciale,Pomeriggio,Venerdì,False,906.1536375556843
4404.0627080369895,63.20672160410881,8.594101241577919,10.0,89.0,12.0,Autostrada,Sera,Giovedì,,877.0700998194604
4968.275977288189,19.351975549680724,6.03615511770274,7.0,102.0,9.0,,Mattina,Martedì,False,993.5308444379806
5463.393336346098,56.66502535585378,10.325097763677423,8.0,94.0,6.0,Strada Urbana,Mattina,,True,1090.1096940627376
4575.805196053401,10.500193567845288,2.182241106377151,9.0,114.0,13.0,Autostrada,Pomeriggio,Domenica,False,914.7656921858089
5347.535505874449,74.25756518206612,4.7946730614648585,5.0,94.0,4.0,Strada Urbana,Mattina,Mercoledì,True,1063.5197465751228
4425.502412597265,68.85532823655838,11.6040653488066,9.0,78.0,10.0,Autostrada,Pomeriggio,Lunedì,False,881.6961693004392
4345.054277596037,22.546707903099403,4.9539714575441165,5.0,,8.0,Autostrada,Mattina,Giovedì,False,868.2423761661606
6634.101655375369,78.26959644208584,5.810566371449992,10.0,76.0,6.0,Strada Urbana,,Mercoledì,True,1320.7365413423004
5674.8102427870845,65.30777202474094,4.341086660289292,9.0,85.0,6.0,Autostrada,Sera,Venerdì,True,1129.7335973530296
6423.730341884744,,9.50634598939835,10.0,107.0,13.0,Autostrada,Pomeriggio,Martedì,True,1278.4237504080054
6279.049481196457,27.473538601190945,2.856548447043458,8.0,99.0,14.0,,Notte,Mercoledì,True,1253.9195069132854
3995.2705301552546,81.15729266027377,7.781889826130703,10.0,102.0,12.0,,Pomeriggio,Sabato,False,793.2729437128628
6346.38627767793,58.24172146567639,3.446641545635645,9.0,100.0,12.0,Autostrada,Pomeriggio,Lunedì,True,1264.487075852709
5879.152687146682,72.64953335921398,5.831395598176373,10.0,89.0,12.0,Strada Urbana,Notte,Giovedì,True,1170.3150027728682
4770.298179404153,103.44284628740736,0.19915180906773777,10.0,101.0,13.0,Strada Urbana,Mattina,Giovedì,False,943.7750967948102
4728.4414850195435,72.12957074796361,4.528512024411339,10.0,92.0,1.0,Autostrada,Pomeriggio,Mercoledì,False,939.8338935364358
4733.725497189999,15.008517418544876,9.112792956054584,9.0,93.0,6.0,Strada Provinciale,Pomeriggio,Giovedì,False,947.9780855829617
3576.5648569815767,47.21251492303387,,7.0,101.0,8.0,Strada Provinciale,Mattina,Martedì,False,712.3298594224622
3394.607183640812,50.625193095812925,3.0303928395551165,10.0,189.9595394490244,7.0,Strada Urbana,Mattina,Lunedì,False,674.7680352704477
5879.396637971609,18.926122679717086,6.144542782333778,8.0,105.0,10.0,Strada Urbana,Pomeriggio,Giovedì,True,1175.8300781610503
5127.13312344921,0.136030203576345,0.0,9.0,106.0,16.0,Autostrada,Sera,Sabato,True,1025.4130216694846
