Vendite Giornalieri (unità),Prezzo Medio (€/unità),Visite Sito Web,Categoria Prodotto,Numero di Recensioni,Tempi di Consegna (giorni),Tipo di Prodotto,Metodo di Pagamento,Sconto Applicato,Transazione Rimborsata,Predict
278.455218211178,232.797140717027,1713.1814654718662,3.0,27.0,3.0,Abbigliamento,PayPal,No,,214.4667513206971
,490.42323443455564,1827.4342936881653,5.0,35.0,4.0,Elettronica,Carta di Credito,No,True,296.22766784279656
224.0611152137586,412.70431751909086,1093.5469214120662,3.0,32.0,2.0,Elettronica,,No,True,242.24185286260658
179.6799448088201,285.43801007173624,1823.7099472804716,3.0,35.0,2.0,Abbigliamento,Carta di Credito,No,False,182.47137542593092
286.9168843290737,75.60506502229158,1961.6055399459256,3.0,28.0,2.0,Abbigliamento,Bonifico,Sì,False,171.7399616712243
298.2522387769699,99.7217758878716,2257.9661202659113,1.0,27.0,2.0,Elettronica,Bonifico,Sì,False,184.44265215484643
277.6274134629139,22.11875581218009,1427.5953918385953,2.0,26.0,2.0,Casa,Carta di Credito,Sì,False,150.64933347511098
291.5331493824035,396.40049428323755,2128.2344253956244,1.0,26.0,1.0,Elettronica,Contrassegno,No,True,391.2129035411824
308.00773262704615,38.43482797813501,537.125578835916,2.0,,1.0,Alimentari,Carta di Credito,No,False,171.13431470696358
283.41358005875975,394.8712979637221,2949.141399946011,2.0,35.0,1.0,Abbigliamento,Carta di Credito,Sì,True,267.1681794184965
193.74180396443242,261.88931017025476,1873.2728153447624,2.0,32.0,2.0,Abbigliamento,PayPal,No,False,
309.9707769730682,413.04883407252953,1260.9397513031772,2.0,26.0,5.0,Elettronica,Carta di Credito,No,True,284.10003870829297
173.69000920133362,359.02513185401494,2282.4729394293436,5.0,34.0,1.0,Elettronica,Bonifico,Sì,False,201.35254415687132
314.43935176970825,497.928638749031,1270.212493373751,1.0,32.0,1.0,Abbigliamento,Contrassegno,No,True,312.9982675095634
247.33567330987162,394.27214744153173,2316.511400661386,1.0,43.0,1.0,Abbigliamento,Carta di Credito,Sì,True,
288.0129005929169,496.73078456450935,2005.792392764921,4.0,38.0,1.0,Abbigliamento,Carta di Credito,No,True,300.62568566581126
300.57234686879343,465.54606882064866,1601.411511565834,4.0,25.0,1.0,Elettronica,Bonifico,No,True,294.9499940805913
256.2004655527126,293.18933495541506,2750.0297391483623,2.0,24.0,5.835463926166286,Abbigliamento,Carta di Credito,No,True,391.2129035411824
471.69827791407926,450.7093995720481,1369.189379644446,1.0,,4.0,Elettronica,Carta di Credito,No,True,233.84603584882302
336.11645362883354,321.1048291380513,1638.4284287440078,5.0,20.0,6.0,Elettronica,Carta di Credito,No,True,
208.19322389366098,113.63653698084337,1940.1394768768496,5.0,32.0,2.0,Elettronica,,,False,144.58757304108352
249.20059377409368,210.70234205402585,1578.5622679687558,2.0,35.0,3.0,Abbigliamento,Bonifico,No,False,194.8109995032546
74.25461307113548,299.87603704243503,2182.315477991504,2.0,31.0,2.0,Abbigliamento,Carta di Credito,No,False,133.29011764829824
258.5865874419831,233.72539973075342,3703.619529370271,,36.0,,Elettronica,Carta di Credito,No,True,206.61091364021757
318.06121611923334,22.734760790297134,1512.9082812357703,2.0,23.0,6.0,Casa,PayPal,No,False,170.4510362967058
230.31490927413262,86.7623599884419,1746.3408710316787,1.0,26.0,1.0,Alimentari,Carta di Credito,Sì,False,146.38616263359887
242.41521372742343,163.5010447553561,1647.6205079721965,1.0,29.0,4.0,Elettronica,PayPal,No,False,176.05792029031855
222.17011310402603,101.73046255080857,2070.6952891940823,1.0,26.0,2.0,Elettronica,Carta di Credito,No,False,146.80419531725556
242.78309231721695,369.6184972411767,2532.0651908892414,1.0,19.0,5.0,Elettronica,Carta di Credito,No,True,236.0770953309615
236.33889221137403,34.356405509656994,2021.4321079785623,,39.0,3.0,Elettronica,PayPal,Sì,False,136.27636775858412
235.99810871794799,215.55031664928208,2060.1264940534707,1.0,26.0,3.0,Elettronica,PayPal,No,False,187.8641493537586
276.9788370540249,364.52133320461576,1543.926668683704,1.0,33.0,3.0,Abbigliamento,PayPal,No,True,254.44581848839718
234.12616974395493,286.0364443702441,2755.7963047496637,0.0,28.0,3.0,Elettronica,Carta di Credito,Sì,True,208.47401818305067
286.8284497831826,,2091.4340315754284,5.0,22.0,2.0,Elettronica,Carta di Credito,No,True,233.69993503729526
225.403876135594,119.28142081258822,1924.3773535606203,2.0,30.0,4.0,Elettronica,PayPal,,False,154.48636431157348
286.4337154400889,17.730786136483047,2623.248819100659,1.0,37.0,4.0,Elettronica,Carta di Credito,Sì,False,155.93609356098938
294.48259714182717,186.77073578487,2218.5192737237344,1.0,31.0,3.0,Elettronica,Carta di Credito,Sì,True,209.47251930637458
331.7384165670647,254.283247272775,1565.4045078996578,1.0,26.0,2.0,Elettronica,Contrassegno,No,True,247.35418246536483
160.53561620133854,151.70018612604645,1263.5471295568618,,32.0,5.0,Alimentari,Carta di Credito,No,False,
213.23098710665346,364.6662618230539,3703.619529370271,4.0,54.115687750662545,3.0,Casa,Carta di Credito,Sì,True,222.2153721002429
228.0795861664447,329.09599170011734,2200.8592869686395,0.0,33.0,10.0,Abbigliamento,Carta di Credito,No,,219.36859059325755
257.0500195409129,475.37746753497237,2973.59320528887,1.0,35.0,1.0,Elettronica,Carta di Credito,Sì,True,278.13825003094814
471.69827791407926,172.1049473607762,2069.5447544811636,3.0,39.0,5.0,,Carta di Credito,Sì,False,164.33865586792075
226.00460173965305,99.43174132100458,2659.464853274565,1.0,32.0,5.0,Casa,PayPal,No,False,
199.61739263183892,305.6623770450375,,0.0,30.0,2.0,Abbigliamento,PayPal,No,False,197.5074094294307
141.77079148234196,446.41198342011137,1897.3168960926714,1.0,19.0,4.0,Alimentari,,No,True,208.6089907672044
310.0872776005184,,2075.541736237542,5.0,16.0,2.0,,Bonifico,No,False,203.01636617253376
249.90194048657796,,1457.3960042964402,4.0,,5.0,Elettronica,,No,True,226.0510429418911
257.46745309238446,444.9044096357063,1636.321722335731,4.0,35.0,1.0,,Carta di Credito,,True,269.2050494369041
259.8852629345333,401.4977817490898,1452.2440565146458,2.0,39.0,1.0,Casa,Carta di Credito,No,True,258.1919659919936
264.09877672766646,41.10671679985569,1159.65582797574,3.0,29.0,3.0,Casa,Carta di Credito,No,False,150.18140340378994
340.41758589631525,241.76339456371934,,5.0,40.0,4.0,Alimentari,Carta di Credito,No,True,250.73781131727344
190.67859112803592,188.96161704454136,3033.3363515815818,2.0,31.0,2.0,Abbigliamento,PayPal,No,False,158.22778067738034
471.69827791407926,413.7771242498406,3703.619529370271,,27.0,2.0,Casa,Carta di Credito,,True,299.2596113851923
234.43880355295866,246.7677598074481,2079.2017527382554,2.0,22.0,4.0,Alimentari,Carta di Credito,Sì,False,195.64972971871376
271.00275034712706,64.41777618600432,1124.6106572762083,1.0,35.0,5.0,Abbigliamento,Carta di Credito,No,False,161.82670802936482
336.08785831662334,325.75716283991585,1975.9193359658013,0.0,34.0,6.0,Casa,Carta di Credito,No,True,272.57107801028644
235.50154779352337,291.6545388234273,2120.1282018248053,1.0,,3.0,Elettronica,PayPal,Sì,True,210.44713554378984
210.67185732200477,192.74918969862748,1747.1019569263192,5.0,29.0,5.0,Elettronica,PayPal,Sì,False,168.96068557059064
309.80617115973234,33.42062368850476,2461.485242545121,0.0,27.0,2.0,Casa,Carta di Credito,Sì,False,170.3292726864176
171.76247642616556,21.382819784172018,2441.320185743331,1.0,37.0,4.0,Casa,Carta di Credito,Sì,False,99.69608414833439
246.5990672568156,327.28155813514667,1439.8529257493474,2.0,39.0,2.0,Elettronica,Carta di Credito,No,True,229.2840010689518
181.88253118304146,74.8372003816222,2272.611445224673,0.0,21.0,3.0,Elettronica,PayPal,No,False,117.59242570600739
250.12355964845133,68.3948265965648,1947.0065258041056,5.0,33.0,3.0,Elettronica,Carta di Credito,Sì,False,152.1802278031951
252.463029902615,175.4035758032198,2259.557464925999,3.0,30.0,5.0,Elettronica,Contrassegno,No,False,184.85258769227346
264.5518319864389,292.0683967686871,2424.905377869291,0.0,24.0,3.0,Elettronica,Carta di Credito,No,True,224.6964350238256
285.62087955777,499.4376634765329,2184.681237845478,3.0,21.0,2.0,Elettronica,Contrassegno,Sì,True,296.8417388218449
185.74403098464472,18.567930717304147,1684.612984415368,0.0,28.0,1.0,Alimentari,PayPal,No,False,104.0423947075136
189.5506544956307,,2085.55123363431,1.0,22.0,2.0,Abbigliamento,PayPal,,False,
254.31304898038752,284.947761669595,,0.0,,3.0,Elettronica,,No,True,218.64085299107228
230.38369882334658,399.21988462244633,2401.5338767205376,1.0,30.0,2.0,Casa,Carta di Credito,Sì,,240.95781479840718
205.56156674595522,111.90279448491803,3703.619529370271,3.0,28.0,1.0,Elettronica,PayPal,No,False,141.95162171845303
174.35573743960254,343.3061578488796,1892.2304819781425,2.0,27.0,1.0,Elettronica,Carta di Credito,No,False,195.56971607446516
188.41094562211924,26.70393574683823,1541.9266998835728,,39.0,4.0,Abbigliamento,Carta di Credito,No,False,110.01665353511109
205.46864928573797,46.37579325157281,1803.1897797089011,4.0,28.0,5.0,Elettronica,Bonifico,Sì,False,122.24706261834082
213.93731050670357,369.211457224445,1929.238033318116,3.0,26.0,4.0,Elettronica,Carta di Credito,Sì,True,222.93209242068525
193.7977153872906,184.08616250559578,3092.362830220254,3.7022374813240373,30.0,1.0,Elettronica,Carta di Credito,No,False,158.12470644532402
166.5471174273976,470.3332397881888,2423.5378579829785,3.7022374813240373,54.115687750662545,2.0,Alimentari,PayPal,No,True,228.97353065015542
314.9367917782855,126.18581309384764,3186.171809438417,5.0,30.0,2.0,Elettronica,PayPal,Sì,False,201.32413981729704
296.8494334090729,333.8293923098172,2308.6507068691726,2.0,35.0,2.0,Elettronica,Bonifico,,True,255.5735343974816
,407.279333320334,1772.600753141279,3.0,29.0,3.0,Abbigliamento,Bonifico,No,True,230.99052365424103
255.9565544546564,91.27271416552698,1681.6663302036932,2.0,30.0,1.0,Abbigliamento,Contrassegno,Sì,False,161.3600914769863
294.9990896975876,489.2326017988439,2454.618081274066,3.0,,3.0,Elettronica,PayPal,No,True,299.469325388447
268.16573622754527,261.2385667590531,1487.6230090485099,3.0,25.0,1.0,Abbigliamento,Carta di Credito,No,True,217.45443814148857
,,2361.749662599073,0.0,30.0,4.0,Alimentari,Carta di Credito,No,True,247.77436144709037
199.2546070678531,,1991.770853999834,1.0,26.0,3.0,Abbigliamento,Bonifico,No,False,124.67948299651763
225.98493396666856,405.01802684183326,1726.6652553989452,1.0,32.0,1.0,Elettronica,Carta di Credito,No,True,240.89787503588425
263.9102552328396,347.69131931915007,1883.9606495570729,2.0,29.0,3.0,Abbigliamento,Carta di Credito,No,True,242.0625234121648
275.111090490758,58.57173228012398,2539.1167330547605,,32.0,4.0,,Carta di Credito,No,False,161.52706492941618
258.9572581434207,494.0162085315234,2305.5408544180214,5.0,27.0,4.0,Abbigliamento,Carta di Credito,No,False,202.43885886310787
269.7893172168235,311.64558583913964,1705.5342149102607,4.0,21.0,2.0,Abbigliamento,PayPal,No,True,232.58833436015362
236.03510748887354,392.487565867374,2107.808245636517,1.0,27.0,1.0,Casa,PayPal,No,True,241.16382350464895
237.09912843158088,324.4789514956325,2374.489987988698,2.0,44.0,6.0,Casa,Carta di Credito,No,True,224.6932496644802
212.47421909716724,287.408617614406,2336.5264899953163,5.0,19.0,1.0,Elettronica,PayPal,No,False,196.25969483290544
252.08948575228374,249.78977677332813,1137.6882888744785,1.0,31.0,3.0,Abbigliamento,PayPal,No,True,207.18167590814028
203.7862810597272,67.49824698991455,1912.706367080449,1.0,27.0,1.0,Elettronica,,Sì,False,127.54261462683797
267.2698471777473,329.4839667631439,2536.799377692377,3.0,35.0,3.0,Abbigliamento,Bonifico,Sì,True,239.4801136178168
279.55060305399496,279.0437151965352,,3.0,22.0,5.0,Elettronica,Contrassegno,No,True,
249.27396329171967,494.0162085315234,2141.8569042742006,1.0,,2.0,Alimentari,PayPal,Sì,True,243.11522264856654
260.3923933840823,178.453044872505,1972.795136512535,,35.0,3.0,Casa,Bonifico,No,False,190.73211015379266
245.21754063186322,373.178173935264,,0.0,29.0,3.0,Elettronica,Carta di Credito,Sì,True,240.3622224965108
241.93987256753118,463.6370667800648,2044.5310543850314,1.0,21.0,,Elettronica,Carta di Credito,No,True,264.261056317785
255.37179335459209,150.28949963094377,1557.0350812222855,3.0,32.0,5.0,Casa,Carta di Credito,Sì,False,179.17274656657918
471.69827791407926,134.8478408587045,1401.4042179123699,3.7022374813240373,26.0,1.0,,Carta di Credito,No,False,140.53586239619983
259.8990156294678,268.45369656659017,1089.3912520259996,0.0,34.0,,Abbigliamento,Contrassegno,No,True,217.28561678471095
204.72808071930078,141.24469334341174,1858.4071037608496,0.0,,4.0,Elettronica,PayPal,Sì,False,150.3374483626739
224.4554746774326,482.64944602774455,2369.7618851135744,1.0,34.0,1.0,Elettronica,Carta di Credito,No,True,263.82257114703964
201.57474944981027,192.34909819332873,,4.0,18.0,3.0,Alimentari,PayPal,No,False,
